Stock,Date,Open,High,Low,Close,Adj Close,Volume
Apple,07/07/1988,1.660714,1.660714,1.616071,1.638393,0.100841,26401200
Apple,08/07/1988,1.625,1.642857,1.607143,1.616071,0.099467,26348000
Apple,11/07/1988,1.625,1.625,1.602679,1.611607,0.099192,18407200
Apple,12/07/1988,1.607143,1.616071,1.589286,1.598214,0.098368,25225200
Apple,13/07/1988,1.598214,1.607143,1.580357,1.598214,0.098368,28792400
Apple,14/07/1988,1.598214,1.616071,1.589286,1.607143,0.098918,15702400
Apple,15/07/1988,1.607143,1.625,1.598214,1.607143,0.098918,20756400
Apple,18/07/1988,1.620536,1.642857,1.616071,1.625,0.100017,28375200
Apple,19/07/1988,1.607143,1.625,1.566964,1.598214,0.098368,30576000
Apple,20/07/1988,1.598214,1.607143,1.571429,1.580357,0.097269,30021600
Apple,21/07/1988,1.5625,1.571429,1.526786,1.535714,0.094521,37256800
Apple,22/07/1988,1.535714,1.544643,1.517857,1.517857,0.093422,25961600
Apple,25/07/1988,1.526786,1.544643,1.508929,1.526786,0.093972,26474000
Apple,26/07/1988,1.526786,1.544643,1.508929,1.526786,0.093972,25382000
Apple,27/07/1988,1.526786,1.544643,1.517857,1.526786,0.093972,29131200
Apple,28/07/1988,1.517857,1.535714,1.508929,1.522321,0.093697,23170000
Apple,29/07/1988,1.544643,1.589286,1.535714,1.584821,0.097544,39737600
Apple,01/08/1988,1.589286,1.633929,1.580357,1.607143,0.098918,21484400
Apple,02/08/1988,1.607143,1.625,1.589286,1.59375,0.098093,30321200
Apple,03/08/1988,1.598214,1.598214,1.571429,1.598214,0.098368,27711600
Apple,04/08/1988,1.598214,1.616071,1.589286,1.59375,0.098093,17228400
Apple,05/08/1988,1.589286,1.607143,1.580357,1.580357,0.097269,13165600
Apple,08/08/1988,1.589286,1.598214,1.571429,1.571429,0.096719,7484400
Apple,09/08/1988,1.571429,1.580357,1.535714,1.553571,0.09562,42506800
Apple,10/08/1988,1.5625,1.5625,1.491071,1.495536,0.092048,36951600
Apple,11/08/1988,1.508929,1.544643,1.5,1.544643,0.095071,26513200
Apple,12/08/1988,1.535714,1.535714,1.508929,1.517857,0.093422,19370400
Apple,15/08/1988,1.508929,1.508929,1.446429,1.473214,0.095719,41669600
Apple,16/08/1988,1.464286,1.544643,1.455357,1.517857,0.09862,30688000
Apple,17/08/1988,1.517857,1.526786,1.491071,1.5,0.09746,29736000
Apple,18/08/1988,1.5,1.535714,1.491071,1.517857,0.09862,18516400
Apple,19/08/1988,1.517857,1.526786,1.446429,1.455357,0.094559,56840000
Apple,22/08/1988,1.4375,1.455357,1.410714,1.419643,0.092239,42548800
Apple,23/08/1988,1.419643,1.4375,1.401786,1.410714,0.091659,40894000
